node_id,node_attr
0,m.0123tgx1
1,mark ballas
2,m.0j72g_v
3,contestant
4,des moines
5,50364
6,dancing with the stars - season 8
7,m.09wvwpt
8,alzheimer's disease
9,female
10,m.063rtcy
11,m.0z3swwp
12,nominated work
13,m.0wzltk6
14,dancing with the stars - season 5
15,white people
16,aortic aneurysm
17,location
18,topic
19,des moines international airport
20,shawn johnson
21,m.0z99vyy
22,olympic athlete
23,m.012_1027
24,actor
25,narrator
26,m.011qxc3h
27,male
28,barrett's esophagus
29,m.0bm6pr2
30,united states of america
31,teen choice award for choice tv female reality star
32,m.0z90wbk
33,model
34,misa amane
35,iowa state capitol
36,m.09xml9s
37,dancing with the stars - season 6
38,dancing with the stars
39,m.0j706j9
40,m.0j13_1s
41,m.0j707sn
42,steve-o
43,alicia sacramone
44,m.0d522bw
45,nephritis
46,m.09xlr5n
47,athlete
48,profession
49,m.0wl6tlh
50,goitre
51,medullary thyroid cancer
52,teri johnson
53,g.1258hr67l
54,theater performer
55,voice actor
56,2011 teen choice awards
57,m.0z8ffs2
58,m.0j70b86
59,m.0r9lwpf
60,events competed in
61,m.0p70n61
62,m.07fqs6n
63,m.0b784lh
64,james e. sullivan award
65,m.01659y
66,multiple sclerosis
67,all for nothing
68,m.0j13zwq
69,m.063rtd5
70,david alan grier
71,gender
72,houston
73,central time zone
74,m.09x0p2h
75,pyelonephritis
76,m.0b45ztz
77,wsj speakeasy index
78,m.0105ypw8
79,m.0j7qxx2
80,celebrity guest
81,kim kardashian
82,dancing with the stars - season 7
83,trigeminal neuralgia
84,skin cancer
85,"winning balance: what i've learned so far about love, faith, and living your dreams"
86,book
87,m.0z8g5yr
88,kristi yamaguchi
89,m.066jh9r
90,jeremy yablan
91,g.11x1jb081
92,m.05fyb26
93,m.09yf56z
94,m.05ndsqk
95,m.0j725z_
96,m.0j8svwh
97,film actor
98,m.0j707x7
99,polk county
100,m.012_102g
101,m.01059z6b
102,lifecaster
103,m.0d5218k
104,m.0j707sb
105,lawrence taylor
106,maria pitillo
107,m.0ghvrmt
108,m.0j70nkx
109,m.0j7060v
110,g.11x1hqy04
111,g.1258g5m94
112,belinda carlisle
113,m.01064wv8
114,m.02zd4v3
115,m.0j706jy
116,m.09y4tlw
117,m.0j70bzc
118,m.0z9lc70
119,2008 teen choice awards
120,date of birth
121,inflammatory bowel disease
122,nastia liukin
123,country of nationality
124,episode 804
125,tv episode
126,episode 801
127,chellsie memmel
128,m.04gc1wm
129,nebraska correctional center for women
130,hurtlovebox
131,chronic fatigue syndrome
132,burn me alive
133,m.04gds7t
134,osteoarthritis
135,rett syndrome
136,country
137,breast cancer
138,corky ballas
139,m.03lyclk
140,50359
141,50395
142,m.0j706j0
143,west des moines
144,valley high school
145,m.0j13zg1
146,tv personality
