src,edge_attr,dst
0,award.award_winner.awards_won,1
2,base.ontologies.ontology_instance.equivalent_instances,3
0,award.award_winner.awards_won,4
5,film.film_regional_release_date.film,6
2,common.topic.image,2
7,common.topic.webpage,8
9,film.personal_film_appearance.person,2
0,award.award_winner.awards_won,10
11,film.performance.actor,2
12,base.activism.activist.area_of_activism,13
14,baseball.baseball_team.team_stats,15
16,film.film_regional_release_date.film,6
17,freebase.type_profile.published,18
2,tv.tv_actor.guest_roles,19
20,education.education.institution,21
22,medicine.risk_factor.diseases,23
24,common.topic.article,25
2,freebase.valuenotation.is_reviewed,26
27,sports.sports_league_draft_pick.team,14
28,base.rivalries.rivalry.kind_of_rivalry,29
30,rdf-schema#domain,31
32,sports.sports_position.players,33
34,freebase.type_profile.strict_included_types,35
36,award.award_honor.award_winner,2
37,freebase.valuenotation.is_reviewed,38
39,freebase.valuenotation.has_value,40
41,film.performance.film,42
43,film.film.produced_by,2
22,base.gender.gender_identity.people,44
45,base.descriptive_names.names.descriptive_name,46
6,common.topic.webpage,47
48,film.film_crew_gig.film,6
6,film.film.release_date_s,49
50,award.award_ceremony.awards_presented,51
52,film.film_crew_gig.film,6
53,medicine.disease.symptoms,54
55,common.webpage.in_index,56
32,sports.sports_position.players,57
58,base.gender.personal_gender_identity.gender_identity,22
0,award.award_winner.awards_won,59
34,base.descriptive_names.names.descriptive_name,60
61,people.person.profession,62
2,people.person.ethnicity,63
64,tv.tv_guest_role.actor,2
65,film.film_crew_gig.film,6
66,award.award_nomination.ceremony,67
68,people.person.nationality,69
70,film.film_cut.film,43
71,common.topic.notable_types,31
72,award.award_nomination.nominated_for,6
73,freebase.valuenotation.has_value,38
74,sports.sports_team_roster.position,32
43,film.film.release_date_s,75
76,people.person.gender,22
32,sports.sports_position.players,77
42,common.topic.webpage,78
79,award.award_category.winners,80
81,common.topic.image,82
83,people.person.sibling_s,84
42,common.topic.webpage,85
71,film.film.starring,86
87,film.performance.film,6
88,people.profession.specializations,89
43,common.topic.article,90
91,base.ghtech.gh_nonprofits.focus_areas,91
92,music.recording.artist,93
94,film.film_crew_gig.film,6
95,freebase.valuenotation.is_reviewed,96
97,tv.tv_guest_role.episodes_appeared_in,98
32,sports.sports_position.players,99
71,film.film.starring,100
101,freebase.valuenotation.is_reviewed,40
102,freebase.valuenotation.is_reviewed,103
104,freebase.valuenotation.has_no_value,105
106,film.performance.film,6
107,people.marriage.type_of_union,108
13,base.activism.activism_issue.activists,109
4,award.award_honor.award_winner,0
42,film.film.starring,110
104,freebase.valuenotation.has_no_value,111
112,book.written_work.author,101
113,freebase.valuenotation.has_value,26
114,common.webpage.in_index,115
32,sports.sports_position.players,116
117,organization.organization.founders,2
14,baseball.baseball_team.team_stats,118
6,film.film.release_date_s,119
120,people.person.ethnicity,63
19,tv.tv_guest_role.episodes_appeared_in,121
86,film.performance.film,71
2,tv.tv_actor.starring_roles,122
123,sports.team_venue_relationship.venue,124
32,sports.coaching_position.coaches,125
32,sports.sports_position.players,126
127,common.webpage.in_index,56
69,base.biblioness.bibs_topic.is_really,69
2,film.person_or_entity_appearing_in_film.films,128
129,common.topic.notable_types,35
130,common.webpage.topic,6
7,common.topic.webpage,131
132,freebase.valuenotation.is_reviewed,96
42,film.film.runtime,133
134,sports.sports_league_draft_pick.team,14
135,common.webpage.topic,6
136,film.film.language,137
45,type.type.properties,138
14,sports.professional_sports_team.draft_picks,139
140,people.person.profession,141
142,common.topic.notable_types,31
14,sports.professional_sports_team.draft_picks,143
144,freebase.valuenotation.is_reviewed,103
145,common.webpage.in_index,56
146,film.performance.film,42
120,basketball.basketball_player.position_s,24
147,sports.sports_award_type.winners,148
149,baseball.baseball_team_stats.team,14
14,sports.sports_team.championships,150
151,people.marriage.spouse,152
6,film.film.release_date_s,153
42,award.award_nominated_work.award_nominations,154
155,people.sibling_relationship.sibling,2
144,people.person.gender,22
68,people.person.gender,156
14,baseball.baseball_team.historical_managers,157
158,media_common.netflix_title.netflix_genres,159
160,people.person.nationality,69
161,fictional_universe.fictional_character.occupation,7
2,common.image.appears_in_topic_gallery,2
34,award.award_discipline.awards_in_this_discipline,162
163,common.webpage.in_index,56
61,freebase.valuenotation.is_reviewed,26
164,people.person.children,165
45,base.descriptive_names.names.descriptive_name,166
167,medicine.icd_9_cm_classification.parent_classification,167
22,medicine.risk_factor.diseases,168
45,fictional_universe.character_occupation.characters_with_this_occupation,169
170,common.topic.notable_types,31
42,film.film.starring,171
172,common.webpage.category,173
174,award.award_nomination.nominated_for,42
175,award.award_category.nominees,176
177,base.ontologies.ontology_instance_mapping.ontology,178
179,film.film_regional_release_date.film,6
180,common.webpage.topic,7
45,freebase.type_profile.strict_included_types,181
182,location.location.containedby,69
7,common.topic.webpage,183
37,people.person.nationality,69
184,people.person.parents,129
34,award.award_discipline.awards_in_this_discipline,185
186,base.activism.activist.area_of_activism,13
7,base.descriptive_names.names.descriptive_name,187
37,medicine.notable_person_with_medical_condition.condition,188
189,book.written_work.subjects,190
13,base.activism.activism_issue.activists,2
191,base.sportbase.sport.played_by_clubs,14
42,film.film.distributors,192
193,freebase.type_hints.included_types,194
22,medicine.risk_factor.diseases,195
140,freebase.valuenotation.is_reviewed,26
6,film.film.release_date_s,196
197,base.activism.activist.area_of_activism,198
199,freebase.valuenotation.has_no_value,105
200,film.film.personal_appearances,201
2,award.award_winner.awards_won,202
203,base.sportbase.club_owner.owns,14
204,common.webpage.topic,7
77,sports.sports_team_roster.position,32
35,type.type.properties,38
43,common.topic.notable_types,205
206,media_common.media_genre.child_genres,207
208,film.film_crew_gig.film,6
32,sports.sports_position.players,209
7,common.topic.webpage,210
151,people.marriage.location_of_ceremony,182
211,tv.tv_program.country_of_origin,69
156,common.topic.subjects,212
1,freebase.valuenotation.has_no_value,105
197,people.person.religion,213
214,freebase.valuenotation.has_no_value,105
215,common.webpage.topic,6
0,organization.organization.founders,2
216,freebase.type_profile.published,18
6,film.film.other_crew,217
218,people.person.gender,22
219,common.webpage.in_index,56
144,people.person.nationality,69
220,people.person.languages,137
221,film.film.starring,222
223,common.topic.notable_types,35
224,sports.sports_team_roster.position,32
42,film.film.costume_design_by,225
112,freebase.valuenotation.is_reviewed,226
164,people.person.children,223
34,common.topic.subjects,227
228,common.webpage.in_index,56
229,freebase.valuenotation.is_reviewed,26
